Date,Time,Latitude,Logitude,Earthquake Depth in KM,Magnitude,Magnitude Type,Gap,Place,Type
2018/11/11,2018/11/11T08:26:37.930Z,31.4232,141.8762,10,4.9,mb,123,"268km SE of Hachijo/jima, Japan",earthquake
2018/11/11,2018/11/11T01:50:00.770Z,49.5372,155.8279,42.08,4.6,mb,171,"128km S of Severo/Kuril'sk, Russia",earthquake
2018/11/09,2018/11/09T18:19:01.000Z,31.4465,141.757,10,4.7,mb,138,"258km SE of Hachijo/jima, Japan",earthquake
2018/11/09,2018/11/09T18:08:35.420Z,31.4081,141.6164,7.65,4.9,mb,89,"252km SE of Hachijo/jima, Japan",earthquake
2018/11/09,2018/11/09T16:09:01.650Z,44.7104,145.6708,22.35,4.7,mb,134,"72km NNW of Otrada, Russia",earthquake
2018/11/08,2018/11/08T23:05:36.690Z,40.7338,142.5527,46.17,4.5,mb,124,"92km ENE of Hachinohe, Japan",earthquake
2018/11/06,2018/11/06T14:26:50.330Z,46.4029,150.6558,93,4.8,mb,129,"251km ENE of Kuril'sk, Russia",earthquake
2018/11/06,2018/11/06T14:06:55.430Z,31.3464,130.2914,153.81,4.5,mb,95,"8km SSW of Kaseda, Japan",earthquake
2018/11/06,2018/11/06T05:41:00.690Z,29.2926,130.5364,35,4.8,mb,115,"145km NE of Naze, Japan",earthquake
2018/11/05,2018/11/05T14:46:58.690Z,29.2376,130.5301,36.22,5,mww,108,"140km NE of Naze, Japan",earthquake
2018/11/05,2018/11/05T14:39:14.980Z,29.2918,130.5495,20.13,4.8,mb,108,"146km NE of Naze, Japan",earthquake
2018/11/05,2018/11/05T13:16:03.290Z,44.4808,145.5972,13.17,4.5,mb,134,"50km NNW of Otrada, Russia",earthquake
2018/11/04,2018/11/04T23:19:17.300Z,33.6271,135.2732,38.72,4.5,mwr,73,"14km SW of Tanabe, Japan",earthquake
2018/11/04,2018/11/04T19:26:03.230Z,44.5643,145.5939,8.03,5.9,mww,61,"59km NNW of Otrada, Russia",earthquake
2018/11/04,2018/11/04T13:08:27.270Z,41.8346,141.4836,105.19,4.7,mb,107,"62km E of Hakodate, Japan",earthquake
2018/11/02,2018/11/02T18:19:30.230Z,36.3247,141.9646,18.75,4.9,mb,115,"119km ESE of Takahagi, Japan",earthquake
2018/11/02,2018/11/02T11:01:15.810Z,47.8166,146.7181,431.95,5.9,mww,25,"202km SW of Vostok, Russia",earthquake
2018/11/02,2018/11/02T07:53:55.390Z,33.689,135.1407,35.22,5.4,mww,57,"21km WSW of Tanabe, Japan",earthquake
2018/10/31,2018/10/31T19:03:11.450Z,43.8269,147.1498,59.39,4.7,mb,139,"34km E of Shikotan, Russia",earthquake
2018/10/30,2018/10/30T17:59:26.780Z,42.3089,141.0174,124.9,4.5,mb,79,"2km ESE of Muroran, Japan",earthquake
2018/10/30,2018/10/30T13:46:49.590Z,31.7203,140.595,108.42,4.6,mb,78,"168km SSE of Hachijo/jima, Japan",earthquake
2018/10/29,2018/10/29T15:32:51.290Z,32.0275,140.8996,49.66,4.8,mb,127,"156km SE of Hachijo/jima, Japan",earthquake
2018/10/29,2018/10/29T12:25:23.170Z,36.4974,141.2367,46.56,4.5,mb,143,"52km ESE of Takahagi, Japan",earthquake
2018/10/29,2018/10/29T01:27:44.280Z,31.6133,140.2515,94,5.5,mww,26,"168km SSE of Hachijo/jima, Japan",earthquake
2018/10/28,2018/10/28T14:46:29.010Z,36.9038,141.6538,35,4.9,mb,146,"70km ESE of Iwaki, Japan",earthquake
2018/10/28,2018/10/28T13:28:59.670Z,37.1874,142.3293,8.74,4.5,mb,152,"122km ESE of Namie, Japan",earthquake
2018/10/28,2018/10/28T06:27:24.340Z,29.7245,130.6764,44.5,4.6,mb,128,"116km SSW of Nishinoomote, Japan",earthquake
2018/10/27,2018/10/27T11:39:13.970Z,40.1961,142.3206,53.57,4.8,mww,120,"69km NNE of Miyako, Japan",earthquake
2018/10/27,2018/10/27T00:08:02.860Z,36.9011,141.2901,9.7,4.8,mww,94,"39km ESE of Iwaki, Japan",earthquake
2018/10/26,2018/10/26T08:45:35.120Z,31.1987,130.6371,117.01,4.5,mb,101,"4km SSW of Ibusuki, Japan",earthquake
2018/10/26,2018/10/26T03:14:36.750Z,44.6221,145.6544,10,4.7,mb,134,"63km NNW of Otrada, Russia",earthquake
2018/10/26,2018/10/26T03:06:18.410Z,44.4503,145.5656,10,5.1,mb,54,"48km NNW of Otrada, Russia",earthquake
2018/10/26,2018/10/26T03:04:53.700Z,44.5381,145.401,10,5.6,mww,60,"63km NW of Otrada, Russia",earthquake
2018/10/25,2018/10/25T18:36:09.090Z,38.3158,141.785,40,5.7,mww,62,"43km ESE of Ishinomaki, Japan",earthquake
2018/10/24,2018/10/24T20:01:24.950Z,37.339,142.2702,23.37,4.5,mb,136,"113km E of Namie, Japan",earthquake
2018/10/23,2018/10/23T11:06:21.730Z,38.3475,141.777,44.25,4.6,mwr,116,"42km E of Ishinomaki, Japan",earthquake
2018/10/22,2018/10/22T15:21:42.020Z,37.8031,143.852,10,4.5,mb,153,"233km ESE of Ishinomaki, Japan",earthquake
2018/10/22,2018/10/22T10:47:19.230Z,37.5957,141.3821,46.64,5,mb,103,"35km ENE of Namie, Japan",earthquake
2018/10/21,2018/10/21T22:07:38.270Z,28.9647,143.571,10,4.6,mb,151,"247km NNE of Chichi/shima, Japan",earthquake
2018/10/21,2018/10/21T11:02:52.090Z,35.1704,140.6009,38.05,4.6,mb,120,"21km ESE of Ohara, Japan",earthquake
2018/10/20,2018/10/20T09:51:20.510Z,49.3746,156.1303,42.62,4.8,mb,161,"145km S of Severo/Kuril'sk, Russia",earthquake
2018/10/20,2018/10/20T01:51:12.780Z,37.0022,141.2542,19.86,4.5,mb,135,"33km E of Iwaki, Japan",earthquake
2018/10/19,2018/10/19T17:30:31.520Z,42.3707,142.9248,42.66,4.6,mb,99,"46km E of Shizunai, Japan",earthquake
2018/10/18,2018/10/18T22:19:36.270Z,33.5493,141.2363,34.35,4.7,mb,146,"143km ENE of Hachijo/jima, Japan",earthquake
2018/10/18,2018/10/18T12:52:23.790Z,38.4427,142.1305,47.47,4.5,mb,176,"72km E of Ishinomaki, Japan",earthquake
2018/10/18,2018/10/18T12:35:55.060Z,32.0877,141.8781,23.6,4.6,mb,126,"224km ESE of Hachijo/jima, Japan",earthquake
2018/10/18,2018/10/18T07:23:43.370Z,47.0156,152.8699,57.9,4.6,mb,183,Kuril Islands,earthquake
2018/10/18,2018/10/18T05:18:22.660Z,35.5209,140.9905,35.02,4.9,mb,114,"27km SSE of Hasaki, Japan",earthquake
2018/10/17,2018/10/17T13:29:08.420Z,29.1271,141.0014,80.18,5.2,mb,100,"256km NNW of Chichi/shima, Japan",earthquake
2018/10/17,2018/10/17T02:58:54.340Z,25.947,128.4265,18.41,4.8,mb,80,"70km SE of Haebaru, Japan",earthquake
2018/10/16,2018/10/16T15:15:45.040Z,25.856,128.388,10,4.5,mb,82,"74km SE of Haebaru, Japan",earthquake
2018/10/16,2018/10/16T00:12:09.490Z,41.6267,134.7112,10,4.5,mb,50,"156km SSE of Preobrazheniye, Russia",earthquake
2018/10/15,2018/10/15T23:34:19.350Z,38.6914,141.8002,56.13,4.5,mb,130,"42km S of Ofunato, Japan",earthquake
2018/10/15,2018/10/15T19:29:46.500Z,47.4724,152.6555,55.69,4.6,mb,142,Kuril Islands,earthquake
2018/10/15,2018/10/15T16:45:08.770Z,49.3095,151.3519,303.43,4.9,mb,111,"184km ENE of Vostok, Russia",earthquake
2018/10/15,2018/10/15T08:05:22.260Z,25.9629,128.6829,10,4.7,mb,56,"91km ESE of Haebaru, Japan",earthquake
2018/10/15,2018/10/15T00:12:55.680Z,32.6162,130.6042,10,4.5,mb,112,"6km WSW of Matsubase, Japan",earthquake
2018/10/14,2018/10/14T21:58:02.350Z,26.5525,141.6906,35,4.5,mb,150,"78km SW of Chichi/shima, Japan",earthquake
2018/10/14,2018/10/14T00:30:28.330Z,38.2959,141.8105,49.3,4.6,mb,135,"46km ESE of Ishinomaki, Japan",earthquake
2018/10/13,2018/10/13T23:19:55.050Z,25.8498,128.1607,10,4.6,mb,213,"57km ESE of Itoman, Japan",earthquake
2018/10/13,2018/10/13T16:35:01.770Z,27.8272,127.1416,171.69,4.6,mb,72,"160km NNW of Nago, Japan",earthquake
2018/10/13,2018/10/13T12:29:05.270Z,26.3139,128.842,18.24,4.5,mb,73,"91km ESE of Nago, Japan",earthquake
2018/10/13,2018/10/13T11:33:45.780Z,39.3602,143.4791,10,4.6,mb,157,"132km E of Yamada, Japan",earthquake
2018/10/12,2018/10/12T22:22:01.600Z,49.3107,156.1359,10,4.9,mb,135,"152km S of Severo/Kuril'sk, Russia",earthquake
2018/10/12,2018/10/12T21:38:24.710Z,47.1406,146.6593,355.35,5.1,mb,46,"232km NNW of Kuril'sk, Russia",earthquake
2018/10/12,2018/10/12T13:58:37.050Z,49.1822,156.2022,10,4.8,mb,189,"166km S of Severo/Kuril'sk, Russia",earthquake
2018/10/12,2018/10/12T12:57:16.780Z,47.8596,155.7742,33.72,4.5,mb,140,East of the Kuril Islands,earthquake
2018/10/12,2018/10/12T04:15:47.790Z,35.7549,140.7582,34.51,5.2,mww,32,"7km WNW of Hasaki, Japan",earthquake
2018/10/12,2018/10/12T00:14:27.110Z,42.6212,141.8133,17.94,4.5,mwr,36,"17km E of Tomakomai, Japan",earthquake
2018/10/11,2018/10/11T22:04:24.180Z,48.3694,155.1659,48.25,4.5,mb,131,"266km SSW of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T15:08:10.770Z,49.2456,156.2422,19.02,5,mww,33,"159km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T06:18:42.840Z,27.9648,128.0506,10,4.7,mb,81,"147km WSW of Naze, Japan",earthquake
2018/10/11,2018/10/11T05:47:32.930Z,49.1973,156.1499,10,5.2,mb,93,"164km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T03:38:38.410Z,49.2508,156.1857,10,4.8,mb,135,"158km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T02:16:16.320Z,49.2243,156.1998,10,5.2,mb,83,"161km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T01:30:20.900Z,49.3443,156.0955,10,5,mb,135,"148km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T00:14:39.760Z,49.3262,156.2063,10,5.4,mb,73,"150km S of Severo/Kuril'sk, Russia",earthquake
2018/10/11,2018/10/11T00:14:18.740Z,49.4323,156.0849,10,4.7,mb,177,"138km S of Severo/Kuril'sk, Russia",earthquake
2018/10/10,2018/10/10T23:26:12.490Z,49.1392,156.193,10,4.8,mb,112,"171km S of Severo/Kuril'sk, Russia",earthquake
2018/10/10,2018/10/10T23:21:50.620Z,49.2,156.28,10,5.5,mb,65,"164km S of Severo/Kuril'sk, Russia",earthquake
2018/10/10,2018/10/10T23:19:42.580Z,49.1265,156.302,10,5.2,mb,195,"173km S of Severo/Kuril'sk, Russia",earthquake
2018/10/10,2018/10/10T23:16:02.130Z,49.2902,156.2968,20,6.5,mww,14,"154km S of Severo/Kuril'sk, Russia",earthquake
2018/10/09,2018/10/09T19:58:38.840Z,39.0221,142.4627,22.81,4.6,mb,135,"56km ESE of Kamaishi, Japan",earthquake
2018/10/09,2018/10/09T13:25:00.630Z,44.2535,149.8354,10,4.6,mb,153,"189km SE of Kuril'sk, Russia",earthquake
2018/10/09,2018/10/09T08:07:03.000Z,49.4001,156.2184,10,4.6,mb,169,"142km S of Severo/Kuril'sk, Russia",earthquake
2018/10/09,2018/10/09T07:45:11.640Z,49.3959,156.2425,19,6.1,mww,57,"142km S of Severo/Kuril'sk, Russia",earthquake
2018/10/09,2018/10/09T04:16:45.830Z,41.0022,142.2267,50.85,4.5,mb,128,"81km ENE of Misawa, Japan",earthquake
2018/10/09,2018/10/09T03:09:04.130Z,27.9703,128.2198,10,4.6,mb,49,"131km WSW of Naze, Japan",earthquake
2018/10/09,2018/10/09T02:32:14.430Z,29.9016,141.0843,48.3,4.5,mb,108,"Izu Islands, Japan region",earthquake
2018/10/08,2018/10/08T23:14:39.670Z,45.8362,150.4817,104.74,4.5,mb,144,"213km ENE of Kuril'sk, Russia",earthquake
2018/10/08,2018/10/08T19:52:02.310Z,37.3655,141.5211,35,4.7,mb,129,"47km ESE of Namie, Japan",earthquake
2018/10/08,2018/10/08T15:45:15.350Z,28.4707,141.6854,37.76,4.6,mb,117,"162km NNW of Chichi/shima, Japan",earthquake
2018/10/08,2018/10/08T15:23:28.720Z,44.5672,148.2793,50.11,4.6,mb,143,"80km SSE of Kuril'sk, Russia",earthquake
2018/10/08,2018/10/08T14:44:46.870Z,23.6085,143.815,12.11,4.7,mb,114,"283km ESE of Iwo Jima, Japan",earthquake
2018/10/08,2018/10/08T14:18:05.220Z,23.5895,143.7463,10,4.5,mb,120,"278km ESE of Iwo Jima, Japan",earthquake
2018/10/08,2018/10/08T12:53:59.330Z,42.6258,141.9864,34,4.6,mb,68,"31km E of Tomakomai, Japan",earthquake
2018/10/08,2018/10/08T05:45:27.770Z,23.6221,143.8849,10,4.9,mb,18,"289km ESE of Iwo Jima, Japan",earthquake
2018/10/08,2018/10/08T05:17:02.050Z,23.7133,144.0184,10,4.6,mb,158,"297km ESE of Iwo Jima, Japan",earthquake
2018/10/07,2018/10/07T03:01:10.390Z,26.5339,140.5194,415.84,4.7,mb,58,"179km WSW of Chichi/shima, Japan",earthquake
2018/10/07,2018/10/07T01:14:19.750Z,35.0158,137.4893,40.22,4.8,mb,70,"12km N of Shinshiro, Japan",earthquake
2018/10/06,2018/10/06T15:18:43.720Z,26.4868,129.4496,10,4.7,mb,84,"147km E of Nago, Japan",earthquake
2018/10/06,2018/10/06T04:14:24.540Z,42.6914,141.9692,38.64,4.6,mb,72,"29km ESE of Chitose, Japan",earthquake
2018/10/05,2018/10/05T18:40:20.660Z,32.6447,140.8904,48.05,4.5,mb,146,"113km ESE of Hachijo/jima, Japan",earthquake
2018/10/05,2018/10/05T01:05:32.340Z,26.7298,129.5792,10,4.5,mb,127,"160km E of Nago, Japan",earthquake
2018/10/04,2018/10/04T23:58:48.760Z,42.5988,142.0359,16.92,5,mww,41,"35km E of Tomakomai, Japan",earthquake
2018/10/04,2018/10/04T22:44:32.800Z,26.6068,129.4751,10,5,mww,65,"149km E of Nago, Japan",earthquake
2018/10/04,2018/10/04T08:20:53.130Z,31.0932,131.4663,35,4.6,mb,121,"46km SSE of Kushima, Japan",earthquake
2018/10/03,2018/10/03T15:15:32.490Z,35.7891,140.9937,30.59,4.9,mb,118,"15km ENE of Hasaki, Japan",earthquake
2018/10/03,2018/10/03T14:56:18.510Z,41.1356,144.3686,10,4.6,mb,151,"204km S of Kushiro, Japan",earthquake
2018/10/02,2018/10/02T10:25:28.940Z,37.6683,141.7129,35,4.6,mb,148,"66km ENE of Namie, Japan",earthquake
2018/10/01,2018/10/01T19:29:23.330Z,38.9592,142.8115,36.52,4.5,mb,167,"87km ESE of Kamaishi, Japan",earthquake
2018/10/01,2018/10/01T15:07:11.250Z,26.7516,129.7105,10,4.7,mb,98,"173km E of Nago, Japan",earthquake
2018/10/01,2018/10/01T02:22:03.950Z,42.893,141.9909,33.53,4.8,mb,52,"28km ENE of Chitose, Japan",earthquake
2018/09/30,2018/09/30T16:07:00.710Z,31.9167,141.6083,16.41,4.6,mb,89,"213km SE of Hachijo/jima, Japan",earthquake
2018/09/30,2018/09/30T08:54:05.100Z,42.5471,141.9968,35,5,mww,57,"33km ESE of Tomakomai, Japan",earthquake
2018/09/29,2018/09/29T09:25:54.910Z,42.7652,141.9494,35,4.5,mb,75,"25km ESE of Chitose, Japan",earthquake
2018/09/29,2018/09/29T04:40:33.980Z,47.1412,152.6567,83.57,4.9,mb,56,Kuril Islands,earthquake
2018/09/27,2018/09/27T19:32:25.390Z,37.148,141.0743,49.03,4.5,mb,166,"20km ENE of Iwaki, Japan",earthquake
2018/09/27,2018/09/27T11:45:52.930Z,26.7884,129.7,10,4.6,mb,82,"173km E of Nago, Japan",earthquake
2018/09/27,2018/09/27T10:32:15.360Z,47.6007,154.0345,39.98,4.8,mb,136,Kuril Islands,earthquake
2018/09/26,2018/09/26T19:22:43.010Z,45.1476,149.2177,85.29,4.6,mb,176,"105km E of Kuril'sk, Russia",earthquake
2018/09/26,2018/09/26T06:00:29.760Z,27.4408,142.0848,72.44,4.6,mb,171,"41km NNW of Chichi/shima, Japan",earthquake
2018/09/26,2018/09/26T04:33:31.520Z,44.7214,149.8563,49.35,4.6,mb,137,"165km ESE of Kuril'sk, Russia",earthquake
2018/09/25,2018/09/25T08:53:40.080Z,48.1944,155.0938,35,5.1,mb,82,"286km SSW of Severo/Kuril'sk, Russia",earthquake
2018/09/25,2018/09/25T03:50:12.340Z,41.9449,141.1385,104.3,4.5,mb,96,"38km ENE of Hakodate, Japan",earthquake
2018/09/24,2018/09/24T14:25:21.060Z,25.0248,125.6729,57.04,4.7,mb,116,"46km ENE of Hirara, Japan",earthquake
2018/09/23,2018/09/23T20:00:04.750Z,45.94,152.9642,10,4.7,mb,160,East of the Kuril Islands,earthquake
2018/09/23,2018/09/23T15:05:34.540Z,36.4966,140.6655,53.8,4.6,mb,137,"9km ENE of Funaishikawa, Japan",earthquake
2018/09/23,2018/09/23T13:29:50.500Z,35.2249,141.1966,26.58,4.8,mb,137,"65km SSE of Hasaki, Japan",earthquake
2018/09/22,2018/09/22T10:58:01.710Z,26.6637,129.6566,10,5.4,mww,36,"167km E of Nago, Japan",earthquake
2018/09/22,2018/09/22T08:42:07.410Z,45.2211,150.5307,45.14,4.6,mb,196,"207km E of Kuril'sk, Russia",earthquake
2018/09/22,2018/09/22T08:35:13.420Z,45.1727,150.5472,33.11,5,mb,135,"209km E of Kuril'sk, Russia",earthquake
2018/09/20,2018/09/20T23:06:02.840Z,26.7341,129.6486,10,4.6,mb,82,"167km E of Nago, Japan",earthquake
2018/09/20,2018/09/20T14:57:26.760Z,26.6747,129.6597,10,4.7,mb,88,"167km E of Nago, Japan",earthquake
2018/09/20,2018/09/20T07:44:26.370Z,39.8823,143.1136,36.43,4.7,mb,129,"103km ENE of Miyako, Japan",earthquake
2018/09/18,2018/09/18T16:54:28.660Z,35.7288,141.9027,8.38,4.7,mb,141,"96km E of Hasaki, Japan",earthquake
2018/09/18,2018/09/18T16:21:49.100Z,38.4621,141.5577,56.52,5.1,mww,108,"23km ENE of Ishinomaki, Japan",earthquake
2018/09/18,2018/09/18T10:35:19.830Z,26.7882,129.7743,10,4.6,mb,83,"177km S of Naze, Japan",earthquake
2018/09/18,2018/09/18T08:11:11.290Z,36.0211,139.7672,83.53,4.6,mb,115,"3km ESE of Sugito, Japan",earthquake
2018/09/18,2018/09/18T06:25:54.310Z,26.6887,129.6347,10,4.6,mb,94,"165km E of Nago, Japan",earthquake
2018/09/17,2018/09/17T04:53:16.300Z,47.2515,150.955,172.35,4.5,mb,58,"240km SE of Vostok, Russia",earthquake
2018/09/17,2018/09/17T02:32:09.890Z,26.7095,129.7013,10,5,mb,71,"172km E of Nago, Japan",earthquake
2018/09/16,2018/09/16T17:51:29.210Z,42.6789,141.8707,13.88,4.8,mb,70,"22km ENE of Tomakomai, Japan",earthquake
2018/09/16,2018/09/16T17:35:57.040Z,26.655,129.6809,10,4.5,mb,83,"169km E of Nago, Japan",earthquake
2018/09/16,2018/09/16T13:58:39.150Z,24.1515,143.464,10,4.5,mb,166,"227km ESE of Iwo Jima, Japan",earthquake
2018/09/16,2018/09/16T10:52:37.540Z,26.7024,129.5769,10,4.8,mb,87,"159km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T18:39:07.430Z,35.3801,141.2864,29.41,4.5,mww,123,"56km SE of Hasaki, Japan",earthquake
2018/09/15,2018/09/15T18:34:35.370Z,26.7178,129.5933,10,4.6,mb,91,"161km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T16:46:14.580Z,26.6213,129.7791,10,4.6,mb,86,"179km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T16:33:21.190Z,26.4878,129.5875,10,4.6,mb,87,"160km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T16:24:34.810Z,26.5742,129.5279,10.2,5.6,mww,31,"154km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T15:40:15.070Z,49.8508,156.1699,49.28,5.4,mww,53,"92km S of Severo/Kuril'sk, Russia",earthquake
2018/09/15,2018/09/15T15:37:59.560Z,26.6904,129.6387,10.15,5.2,mww,69,"165km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T14:09:01.900Z,26.6617,129.8195,10,4.7,mb,81,"183km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T13:53:38.730Z,26.7462,129.7372,10,4.9,mww,73,"176km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T13:34:02.330Z,26.6846,129.5989,10,4.6,mb,89,"161km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:38:51.920Z,26.6666,129.5559,10,4.6,mb,81,"157km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:32:21.490Z,26.5998,129.5599,10,5,mww,71,"157km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:19:18.470Z,26.6092,129.5737,10,4.9,mb,72,"159km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:11:30.370Z,26.6318,129.6883,10,4.7,mb,77,"170km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:05:29.100Z,26.6827,129.6017,10,5.7,mww,35,"162km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T08:05:12.710Z,26.7366,129.4978,10,5.1,mb,68,"152km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T05:38:38.210Z,26.774,129.6812,10,4.7,mb,89,"170km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T05:07:44.280Z,26.5723,129.8862,10,4.8,mb,95,"190km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T05:07:20.310Z,26.707,129.5875,10,4.6,mb,93,"160km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T04:54:38.150Z,26.6796,129.6362,10,4.9,mb,74,"165km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T04:52:47.910Z,26.6176,129.6998,10,4.9,mb,69,"171km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T04:40:19.690Z,26.6974,129.5594,10,5.4,mww,55,"158km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T04:14:35.200Z,26.6969,129.6547,10,4.9,mb,70,"167km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T03:51:16.800Z,26.6719,129.5944,10,4.6,mb,92,"161km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T02:58:19.990Z,44.408,149.2402,35,4.5,mb,176,"141km SE of Kuril'sk, Russia",earthquake
2018/09/15,2018/09/15T01:48:29.130Z,26.7476,129.5933,10,4.8,mb,78,"161km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T01:41:55.490Z,26.7059,129.6128,10,4.6,mb,94,"163km E of Nago, Japan",earthquake
2018/09/15,2018/09/15T00:08:21.430Z,26.7302,129.6429,9.32,5.7,mww,24,"166km E of Nago, Japan",earthquake
2018/09/14,2018/09/14T05:35:24.470Z,36.8176,140.6565,7.87,4.6,mwr,133,"9km WNW of Kitaibaraki, Japan",earthquake
2018/09/13,2018/09/13T21:54:22.380Z,42.7494,141.934,26.62,4.5,mwr,71,"24km ESE of Chitose, Japan",earthquake
2018/09/12,2018/09/12T16:33:59.120Z,42.634,142.0047,22.41,4.5,mb,83,"32km E of Tomakomai, Japan",earthquake
2018/09/12,2018/09/12T00:28:09.050Z,45.6083,150.0151,80.69,5.1,mb,101,"171km ENE of Kuril'sk, Russia",earthquake
2018/09/11,2018/09/11T15:08:49.030Z,30.4041,131.0237,35,4.8,mb,108,"36km S of Nishinoomote, Japan",earthquake
2018/09/11,2018/09/11T14:18:17.060Z,30.3898,131.0138,35,4.6,mb,132,"38km S of Nishinoomote, Japan",earthquake
2018/09/11,2018/09/11T13:25:58.380Z,41.2526,142.3943,45.26,4.9,mww,124,"98km E of Mutsu, Japan",earthquake
2018/09/11,2018/09/11T13:20:52.510Z,39.6445,132.1629,510.33,4.5,mb,80,"282km ESE of Kilju, North Korea",earthquake
2018/09/11,2018/09/11T12:14:57.810Z,30.4666,130.2796,35,4.6,mb,124,"75km WSW of Nishinoomote, Japan",earthquake
2018/09/10,2018/09/10T19:58:45.730Z,42.6802,141.9843,35,4.6,mb,72,"31km E of Tomakomai, Japan",earthquake
2018/09/10,2018/09/10T14:58:39.090Z,34.9969,140.2387,28.35,4.6,mb,139,"16km SSW of Katsuura, Japan",earthquake
2018/09/09,2018/09/09T13:55:11.960Z,42.785,141.9702,20.79,4.7,mww,43,"26km E of Chitose, Japan",earthquake
